ger     best    worst
0       673     1062
1       673     1062
2       673     1062
3       659     1062
4       657     1062
5       657     1062
6       657     1062
7       657     1062
8       657     1062
9       655     1062
10      655     1062
11      655     1062
12      655     1062
13      654     1062
14      645     1062
15      645     1062
16      643     1062
17      643     1062
18      643     1062
19      643     1062
20      643     1062
21      643     1062
22      643     1062
23      643     1062
24      643     1062
25      643     1062
26      643     1062
27      643     1062
28      643     1062
29      643     1062
30      643     1062
31      643     1062
32      643     1062
33      643     1062
34      643     1062
35      643     1062
36      643     1062
37      643     1062
38      643     1062
39      643     1062
40      643     1062
41      643     1062
42      643     1062
43      643     1062
44      643     1062
45      643     1062
46      643     1062
47      643     1062
48      643     1062
49      643     1062
50      643     1062
51      643     1062
52      643     1062
53      643     1062
54      643     1062
55      643     1062
56      643     1062
57      643     1062
58      643     1062
59      643     1062
60      643     1062
61      643     1062
62      643     1062
63      643     1062
64      643     1062
65      643     1062
66      643     1062
67      643     1062
68      643     1062
69      643     1062
70      643     1062
71      643     1062
72      643     1062
73      643     1062
74      643     1062
75      643     1062
76      643     1062
77      643     1062
78      643     1062
79      643     1062
80      643     1062
81      643     1062
82      643     1062
83      643     1062
84      643     1062
85      643     1062
86      643     1062
87      643     1062
88      643     1062
89      643     1062
90      643     1062
91      643     1062
92      643     1062
93      643     1062
94      643     1062
95      643     1062
96      643     1062
97      643     1062
98      643     1062
99      643     1062
100     643     1062
