Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 27.01      5.86     5.86 228288645     0.00     0.00  Genetic::deltaEvaluation(Individuo&, int, int)
 24.75     11.23     5.37 4597443744     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 13.50     14.16     2.93 1840372511     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
 12.19     16.81     2.65 1840372511     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  5.81     18.07     1.26 458366681     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  5.07     19.17     1.10 1375100043     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  4.24     20.09     0.92  4293473     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  3.41     20.83     0.74    60600     0.00     0.00  Genetic::twoOptBestImprovement(Individuo&)
  1.27     21.10     0.28        6     0.05     0.05  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.88     21.29     0.19                             std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.46     21.39     0.10  1752108     0.00     0.00  Genetic::swapNodes(Individuo&, int, int)
  0.14     21.42     0.03        1     0.03    21.24  Genetic::run()
  0.09     21.44     0.02  8258997     0.00     0.00  std::vector<Individuo, std::allocator<Individuo> >::size() const
  0.09     21.46     0.02  6419848     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.09     21.48     0.02  2123516     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.09     21.50     0.02  2123456     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.09     21.52     0.02  2123456     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.09     21.54     0.02     1545     0.00     0.00  Individuo::setFitness()
  0.07     21.56     0.02 15805314     0.00     0.00  Individuo::getFitness()
  0.07     21.57     0.02    43260     0.00     0.00  Individuo::setRoute(unsigned int, unsigned int)
  0.05     21.58     0.01  7551353     0.00     0.00  std::vector<Individuo, std::allocator<Individuo> >::operator[](unsigned long)
  0.05     21.59     0.01  4247032     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.05     21.60     0.01  2380006     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.05     21.61     0.01  2125533     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.05     21.62     0.01  2125021     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.05     21.63     0.01  2123516     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.05     21.64     0.01  2123516     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.05     21.65     0.01  2123456     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.05     21.66     0.01  2123456     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.05     21.67     0.01  2123456     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::allocator<int>&)
  0.05     21.68     0.01   232078     0.00     0.00  Genetic::mutationSwap(Individuo&)
  0.05     21.69     0.01   232078     0.00     0.00  Genetic::searchFitness(Individuo&)
  0.05     21.70     0.01     1545     0.00     0.00  void std::random_shuffle<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     21.70     0.00  4247032     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00     21.70     0.00  4247032     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00     21.70     0.00  4247032     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00     21.70     0.00  2125021     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00     21.70     0.00  2123516     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00     21.70     0.00  2123456     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_propagate_on_copy_assign()
  0.00     21.70     0.00  2123456     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     21.70     0.00  2123456     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00     21.70     0.00  2123456     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     21.70     0.00  1061728     0.00     0.00  Output::operator=(Output const&)
  0.00     21.70     0.00  1061728     0.00     0.00  Individuo::operator=(Individuo const&)
  0.00     21.70     0.00   232078     0.00     0.00  Genetic::binaryTour(Individuo&, Individuo&, Individuo&, int)
  0.00     21.70     0.00   222184     0.00     0.00  Genetic::left(unsigned int)
  0.00     21.70     0.00   222184     0.00     0.00  Genetic::right(unsigned int)
  0.00     21.70     0.00   222068     0.00     0.00  Genetic::minHeapify(unsigned int)
  0.00     21.70     0.00   218820     0.00     0.00  Genetic::elitistInsertion(Individuo&)
  0.00     21.70     0.00   116039     0.00     0.00  Genetic::swapNodeCrossover(Individuo&, Individuo&, Individuo&, Individuo&)
  0.00     21.70     0.00    86520     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00     21.70     0.00    74566     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00     21.70     0.00    44805     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  0.00     21.70     0.00    41735     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00     21.70     0.00    41715     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00     21.70     0.00    37283     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     21.70     0.00    10440     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00     21.70     0.00     3480     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int*> >, std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&)
  0.00     21.70     0.00     1740     0.00     0.00  std::vector<std::pair<double, double>, std::allocator<std::pair<double, double> > >::operator[](unsigned long)
  0.00     21.70     0.00     1682     0.00     0.00  std::pair<double, double>::operator=(std::pair<double, double> const&)
  0.00     21.70     0.00     1545     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.00     21.70     0.00     1301     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     21.70     0.00     1301     0.00     0.00  std::allocator<int>::~allocator()
  0.00     21.70     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00     21.70     0.00     1280     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00     21.70     0.00     1160     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00     21.70     0.00      928     0.00     0.00  std::remove_reference<std::allocator<int>&>::type&& std::move<std::allocator<int>&>(std::allocator<int>&)
  0.00     21.70     0.00      922     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     21.70     0.00      841     0.00     0.00  Input::euclidian2D(double, double, double, double)
  0.00     21.70     0.00      841     0.00     0.00  Input::setBuild(double, double, double, double)
  0.00     21.70     0.00      797     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     21.70     0.00      797     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     21.70     0.00      797     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     21.70     0.00      797     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     21.70     0.00      777     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     21.70     0.00      777     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     21.70     0.00      777     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     21.70     0.00      696     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
  0.00     21.70     0.00      564     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     21.70     0.00      524     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00     21.70     0.00      464     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::get_allocator() const
  0.00     21.70     0.00      464     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::allocator<int> const&)
  0.00     21.70     0.00      464     0.00     0.00  std::vector<int, std::allocator<int> >::_M_move_assign(std::vector<int, std::allocator<int> >&&, std::integral_constant<bool, true>)
  0.00     21.70     0.00      464     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::allocator<int> const&)
  0.00     21.70     0.00      464     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> >&&)
